EXTERNAL_PERMIT_NMBR,Facility,DesignFlow,Flow_cfs,matched_COMID,geometry,mon_code,mean_dmr_cfs,sd_dmr_cfs,n_obs,low_dmr_cfs,high_dmr_cfs,ratio_dmr_to_design
CO0000005,HAROLD D THOMPSON REGIONAL WW RECLAMATION FACILITY,2.5,3.8674999999999997,1530541,"c(-104.663194, 38.618697)",10,1.4714548333333333,0.028041553162524074,6,1.4434132801708093,1.4994963864958573,0.3804666666666667
CO0000005,HAROLD D THOMPSON REGIONAL WW RECLAMATION FACILITY,2.5,3.8674999999999997,1530541,"c(-104.663194, 38.618697)",11,1.4732596666666666,0.05680390762145386,6,1.4164557590452127,1.5300635742881206,0.38093333333333335
CO0000005,HAROLD D THOMPSON REGIONAL WW RECLAMATION FACILITY,2.5,3.8674999999999997,1530541,"c(-104.663194, 38.618697)",12,1.4580475,0.06218670616056134,6,1.3958607938394385,1.5202342061605614,0.377
CO0000010,RANGELY WWTF,0.5,0.7735,5308032,"c(-108.80923, 40.09524)",01,0.2003365,0.047174622935430024,6,0.15316187706456996,0.24751112293543004,0.259
CO0000010,RANGELY WWTF,0.5,0.7735,5308032,"c(-108.80923, 40.09524)",02,0.2647948333333333,0.07625575030492236,6,0.18853908302841094,0.3410505836382557,0.3423333333333333
CO0000010,RANGELY WWTF,0.5,0.7735,5308032,"c(-108.80923, 40.09524)",03,0.24236333333333335,0.03771212451011831,6,0.20465120882321503,0.28007545784345167,0.31333333333333335
CO0000010,RANGELY WWTF,0.5,0.7735,5308032,"c(-108.80923, 40.09524)",04,0.22147883333333332,0.046031157653991996,6,0.17544767567934133,0.2675099909873253,0.28633333333333333
CO0000010,RANGELY WWTF,0.5,0.7735,5308032,"c(-108.80923, 40.09524)",05,0.21297033333333332,0.053255161367389225,6,0.1597151719659441,0.26622549470072254,0.2753333333333333
CO0000010,RANGELY WWTF,0.5,0.7735,5308032,"c(-108.80923, 40.09524)",06,0.199563,0.06899689371848561,6,0.13056610628151438,0.2685598937184856,0.258
CO0000010,RANGELY WWTF,0.5,0.7735,5308032,"c(-108.80923, 40.09524)",07,0.23565966666666663,0.0788858769937095,6,0.15677378967295713,0.3145455436603761,0.30466666666666664
CO0000010,RANGELY WWTF,0.5,0.7735,5308032,"c(-108.80923, 40.09524)",08,0.2266355,0.0635871575516629,6,0.1630483424483371,0.2902226575516629,0.293
CO0000010,RANGELY WWTF,0.5,0.7735,5308032,"c(-108.80923, 40.09524)",09,0.21322816666666666,0.0602211685785544,6,0.15300699808811227,0.2734493352452211,0.27566666666666667
CO0000010,RANGELY WWTF,0.5,0.7735,5308032,"c(-108.80923, 40.09524)",10,0.22715116666666668,0.019183215855707477,6,0.2079679508109592,0.24633438252237416,0.2936666666666667
CO0000010,RANGELY WWTF,0.5,0.7735,5308032,"c(-108.80923, 40.09524)",11,0.23875366666666664,0.08063219652636698,6,0.15812147014029965,0.31938586319303364,0.30866666666666664
CO0000010,RANGELY WWTF,0.5,0.7735,5308032,"c(-108.80923, 40.09524)",12,0.19621116666666666,0.029618754966518536,6,0.16659241170014813,0.2258299216331852,0.25366666666666665
CO0000011,LOMA LINDA SAN DIST WWTF,0.125,0.193375,17014897,"c(-107.798611, 37.210987)",01,0.08224883333333333,0.005655901958721231,6,0.0765929313746121,0.08790473529205456,0.42533333333333334
CO0000011,LOMA LINDA SAN DIST WWTF,0.125,0.193375,17014897,"c(-107.798611, 37.210987)",02,0.08147533333333333,0.005592071554144016,6,0.07588326177918932,0.08706740488747734,0.42133333333333334
CO0000011,LOMA LINDA SAN DIST WWTF,0.125,0.193375,17014897,"c(-107.798611, 37.210987)",03,0.09333566666666666,0.02476488831120921,6,0.06857077835545745,0.11810055497787587,0.4826666666666667
CO0000011,LOMA LINDA SAN DIST WWTF,0.125,0.193375,17014897,"c(-107.798611, 37.210987)",04,0.07528733333333333,0.00936755019557764,6,0.06591978313775569,0.08465488352891097,0.38933333333333336
CO0000011,LOMA LINDA SAN DIST WWTF,0.125,0.193375,17014897,"c(-107.798611, 37.210987)",05,0.08792116666666666,0.01510736128404516,6,0.0728138053826215,0.10302852795071182,0.45466666666666666
CO0000011,LOMA LINDA SAN DIST WWTF,0.125,0.193375,17014897,"c(-107.798611, 37.210987)",06,0.10854783333333333,0.01526495276660451,6,0.09328288056672882,0.12381278609993784,0.5613333333333334
CO0000011,LOMA LINDA SAN DIST WWTF,0.125,0.193375,17014897,"c(-107.798611, 37.210987)",07,0.10390683333333332,0.017431516553836235,6,0.08647531677949709,0.12133834988716956,0.5373333333333333
CO0000011,LOMA LINDA SAN DIST WWTF,0.125,0.193375,17014897,"c(-107.798611, 37.210987)",08,0.09926583333333333,0.024740717220134642,6,0.07452511611319869,0.12400655055346797,0.5133333333333333
CO0000011,LOMA LINDA SAN DIST WWTF,0.125,0.193375,17014897,"c(-107.798611, 37.210987)",09,0.08946816666666667,0.029097037144126318,6,0.060371129522540354,0.11856520381079298,0.46266666666666667
CO0000011,LOMA LINDA SAN DIST WWTF,0.125,0.193375,17014897,"c(-107.798611, 37.210987)",10,0.0781235,0.00697008914577138,6,0.07115341085422862,0.08509358914577138,0.404
CO0000011,LOMA LINDA SAN DIST WWTF,0.125,0.193375,17014897,"c(-107.798611, 37.210987)",11,0.07090416666666666,0.01732133467625017,6,0.05358283199041648,0.08822550134291683,0.36666666666666664
CO0000011,LOMA LINDA SAN DIST WWTF,0.125,0.193375,17014897,"c(-107.798611, 37.210987)",12,0.0874055,0.011932976807988861,6,0.07547252319201114,0.09933847680798885,0.452
CO0000012,PALISADE WWTF,0.47,0.7270899999999999,3179692,"c(-108.354197, 39.09895)",01,0.286195,0.016225072881192244,6,0.26996992711880774,0.3024200728811922,0.39361702127659576
CO0000012,PALISADE WWTF,0.47,0.7270899999999999,3179692,"c(-108.354197, 39.09895)",02,0.2836166666666667,0.01263120210695192,6,0.2709854645597148,0.2962478687736186,0.39007092198581567
CO0000012,PALISADE WWTF,0.47,0.7270899999999999,3179692,"c(-108.354197, 39.09895)",03,0.27330333333333334,0.018735100391155276,6,0.25456823294217806,0.2920384337244886,0.3758865248226951
CO0000012,PALISADE WWTF,0.47,0.7270899999999999,3179692,"c(-108.354197, 39.09895)",04,0.25009833333333337,0.0063156010534759655,6,0.2437827322798574,0.2564139343868093,0.34397163120567387
CO0000012,PALISADE WWTF,0.47,0.7270899999999999,3179692,"c(-108.354197, 39.09895)",05,0.26299,0.03527702765256732,6,0.22771297234743268,0.2982670276525673,0.36170212765957455
CO0000012,PALISADE WWTF,0.47,0.7270899999999999,3179692,"c(-108.354197, 39.09895)",06,0.24236333333333335,0.01597734729755433,6,0.22638598603577903,0.25834068063088766,0.33333333333333337
CO0000012,PALISADE WWTF,0.47,0.7270899999999999,3179692,"c(-108.354197, 39.09895)",07,0.25267666666666666,0.030419962962940424,6,0.22225670370372624,0.2830966296296071,0.34751773049645396
CO0000012,PALISADE WWTF,0.47,0.7270899999999999,3179692,"c(-108.354197, 39.09895)",08,0.286195,0.028941719886696433,6,0.25725328011330356,0.3151367198866964,0.39361702127659576
CO0000012,PALISADE WWTF,0.47,0.7270899999999999,3179692,"c(-108.354197, 39.09895)",09,0.28103833333333333,0.018085129158141682,6,0.26295320417519163,0.29912346249147503,0.3865248226950355
CO0000012,PALISADE WWTF,0.47,0.7270899999999999,3179692,"c(-108.354197, 39.09895)",10,0.29908666666666667,0.034821821127946004,6,0.26426484553872065,0.3339084877946127,0.4113475177304965
CO0000012,PALISADE WWTF,0.47,0.7270899999999999,3179692,"c(-108.354197, 39.09895)",11,0.2836166666666667,0.018735100391155276,6,0.2648815662755114,0.30235176705782196,0.39007092198581567
CO0000012,PALISADE WWTF,0.47,0.7270899999999999,3179692,"c(-108.354197, 39.09895)",12,0.2887733333333333,0.018735100391155283,6,0.27003823294217805,0.3075084337244886,0.3971631205673759
CO0020010,LAKE ELDORA WSD WWTF,0.03,0.04640999999999999,2891254,"c(-105.576667, 39.9375)",01,0.026943583333333333,0.005919507449244967,6,0.021024075884088368,0.0328630907825783,0.5805555555555556
CO0020010,LAKE ELDORA WSD WWTF,0.03,0.04640999999999999,2891254,"c(-105.576667, 39.9375)",02,0.025009833333333332,0.005123038684869232,6,0.0198867946484641,0.030132872018202563,0.538888888888889
CO0020010,LAKE ELDORA WSD WWTF,0.03,0.04640999999999999,2891254,"c(-105.576667, 39.9375)",03,0.02655683333333333,0.003964266106944218,6,0.022592567226389113,0.03052109944027755,0.5722222222222223
CO0020010,LAKE ELDORA WSD WWTF,0.03,0.04640999999999999,2891254,"c(-105.576667, 39.9375)",04,0.03532316666666666,0.0024784208211412902,6,0.032844745845525374,0.03780158748780795,0.7611111111111112
CO0020010,LAKE ELDORA WSD WWTF,0.03,0.04640999999999999,2891254,"c(-105.576667, 39.9375)",05,0.034549666666666666,0.005146342999321622,6,0.029403323667345042,0.03969600966598829,0.7444444444444446
CO0020010,LAKE ELDORA WSD WWTF,0.03,0.04640999999999999,2891254,"c(-105.576667, 39.9375)",06,0.029135166666666667,0.008033484260684566,6,0.0211016824059821,0.037168650927351235,0.6277777777777779
CO0020010,LAKE ELDORA WSD WWTF,0.03,0.04640999999999999,2891254,"c(-105.576667, 39.9375)",07,0.018564,0.004892043540280483,6,0.013671956459719518,0.023456043540280483,0.4000000000000001
CO0020010,LAKE ELDORA WSD WWTF,0.03,0.04640999999999999,2891254,"c(-105.576667, 39.9375)",08,0.020626666666666665,0.008566898077289508,6,0.012059768589377157,0.029193564743956173,0.4444444444444445
CO0020010,LAKE ELDORA WSD WWTF,0.03,0.04640999999999999,2891254,"c(-105.576667, 39.9375)",09,0.018306166666666665,0.006296625744529103,6,0.012009540922137563,0.024602792411195767,0.3944444444444445
CO0020010,LAKE ELDORA WSD WWTF,0.03,0.04640999999999999,2891254,"c(-105.576667, 39.9375)",10,0.015212166666666666,0.003964266106944218,6,0.011247900559722447,0.019176432773610884,0.3277777777777778
CO0020010,LAKE ELDORA WSD WWTF,0.03,0.04640999999999999,2891254,"c(-105.576667, 39.9375)",11,0.022431499999999997,0.005336589463318309,6,0.017094910536681687,0.027768089463318307,0.48333333333333334
CO0020010,LAKE ELDORA WSD WWTF,0.03,0.04640999999999999,2891254,"c(-105.576667, 39.9375)",12,0.024494166666666668,0.005123038684869232,6,0.019371127981797437,0.029617205351535898,0.5277777777777779
CO0020150,"LA JARA, TOWN OF",0.17,0.26299,17899291,"c(-105.935667, 37.27248)",01,0.0999362,0.03620773246421266,5,0.06372846753578734,0.13614393246421266,0.38
CO0020150,"LA JARA, TOWN OF",0.17,0.26299,17899291,"c(-105.935667, 37.27248)",02,0.10983699999999999,0.054519405517668665,6,0.055317594482331325,0.16435640551766867,0.41764705882352937
CO0020150,"LA JARA, TOWN OF",0.17,0.26299,17899291,"c(-105.935667, 37.27248)",03,0.09926583333333333,0.022427054157126085,6,0.07683877917620724,0.12169288749045942,0.37745098039215685
CO0020150,"LA JARA, TOWN OF",0.17,0.26299,17899291,"c(-105.935667, 37.27248)",04,0.056723333333333334,0.012593251489058205,6,0.04413008184427513,0.06931658482239154,0.21568627450980393
CO0020150,"LA JARA, TOWN OF",0.17,0.26299,17899291,"c(-105.935667, 37.27248)",05,0.17532666666666666,0.0750233861770226,6,0.10030328048964406,0.2503500528436893,0.6666666666666666
CO0020150,"LA JARA, TOWN OF",0.17,0.26299,17899291,"c(-105.935667, 37.27248)",06,0.182546,0.05916744142854244,6,0.12337855857145757,0.24171344142854245,0.6941176470588236
CO0020150,"LA JARA, TOWN OF",0.17,0.26299,17899291,"c(-105.935667, 37.27248)",07,0.11911899999999999,0.03507291584684684,6,0.08404608415315315,0.15419191584684683,0.4529411764705882
CO0020150,"LA JARA, TOWN OF",0.17,0.26299,17899291,"c(-105.935667, 37.27248)",08,0.06858366666666667,0.055508349046487285,6,0.013075317620179383,0.12409201571315395,0.2607843137254902
CO0020150,"LA JARA, TOWN OF",0.17,0.26299,17899291,"c(-105.935667, 37.27248)",09,0.04769916666666667,0.022082939581646883,6,0.025616227085019785,0.06978210624831355,0.18137254901960784
CO0020150,"LA JARA, TOWN OF",0.17,0.26299,17899291,"c(-105.935667, 37.27248)",10,0.038675,0.004510241290662839,5,0.03416475870933716,0.04318524129066284,0.14705882352941177
CO0020150,"LA JARA, TOWN OF",0.17,0.26299,17899291,"c(-105.935667, 37.27248)",11,0.0392938,0.02403084126076322,5,0.015262958739236776,0.06332464126076322,0.14941176470588233
CO0020150,"LA JARA, TOWN OF",0.17,0.26299,17899291,"c(-105.935667, 37.27248)",12,0.050122799999999995,0.012012930645766669,5,0.03810986935423333,0.06213573064576666,0.19058823529411761
CO0020222,NEDERLAND TOWN OF WWTF,0.25,0.38675,2891620,"c(-105.503889, 39.96194)",01,0.14412883333333334,0.022723880138890595,6,0.12140495319444275,0.16685271347222394,0.3726666666666667
CO0020222,NEDERLAND TOWN OF WWTF,0.25,0.38675,2891620,"c(-105.503889, 39.96194)",02,0.14206616666666666,0.016616153133823322,6,0.12545001353284335,0.15868231980048997,0.36733333333333335
CO0020222,NEDERLAND TOWN OF WWTF,0.25,0.38675,2891620,"c(-105.503889, 39.96194)",03,0.16063016666666666,0.014883930252680791,6,0.14574623641398587,0.17551409691934744,0.41533333333333333
CO0020222,NEDERLAND TOWN OF WWTF,0.25,0.38675,2891620,"c(-105.503889, 39.96194)",04,0.20007866666666665,0.0427785828267682,6,0.15730008383989846,0.24285724949343485,0.5173333333333333
CO0020222,NEDERLAND TOWN OF WWTF,0.25,0.38675,2891620,"c(-105.503889, 39.96194)",05,0.28284316666666665,0.06937336322657757,6,0.2134698034400891,0.3522165298932442,0.7313333333333333
CO0020222,NEDERLAND TOWN OF WWTF,0.25,0.38675,2891620,"c(-105.503889, 39.96194)",06,0.24752,0.04764157234600889,6,0.1998784276539911,0.29516157234600887,0.64
CO0020222,NEDERLAND TOWN OF WWTF,0.25,0.38675,2891620,"c(-105.503889, 39.96194)",07,0.18512433333333334,0.023999284003208655,6,0.16112504933012467,0.209123617336542,0.4786666666666667
CO0020222,NEDERLAND TOWN OF WWTF,0.25,0.38675,2891620,"c(-105.503889, 39.96194)",08,0.1647555,0.02513101380963371,6,0.1396244861903663,0.1898865138096337,0.426
CO0020222,NEDERLAND TOWN OF WWTF,0.25,0.38675,2891620,"c(-105.503889, 39.96194)",09,0.15057466666666666,0.018862407181127933,6,0.13171225948553872,0.1694370738477946,0.38933333333333336
CO0020222,NEDERLAND TOWN OF WWTF,0.25,0.38675,2891620,"c(-105.503889, 39.96194)",10,0.13458900000000001,0.011069430915814958,6,0.12351956908418506,0.14565843091581498,0.34800000000000003
CO0020222,NEDERLAND TOWN OF WWTF,0.25,0.38675,2891620,"c(-105.503889, 39.96194)",11,0.13639383333333333,0.010869441152454282,6,0.12552439218087905,0.1472632744857876,0.3526666666666667
CO0020222,NEDERLAND TOWN OF WWTF,0.25,0.38675,2891620,"c(-105.503889, 39.96194)",12,0.13819866666666666,0.019633293057117713,6,0.11856537360954895,0.1578319597237844,0.35733333333333334
CO0020281,DEL NORTE WWTF,0.99,1.5315299999999998,1424052,"c(-105.33029, 37.67654)",01,0.245973,0.048339727632662546,6,0.19763327236733746,0.29431272763266253,0.1606060606060606
CO0020281,DEL NORTE WWTF,0.99,1.5315299999999998,1424052,"c(-105.33029, 37.67654)",02,0.239785,0.041023219873627656,6,0.19876178012637236,0.28080821987362764,0.15656565656565657
CO0020281,DEL NORTE WWTF,0.99,1.5315299999999998,1424052,"c(-105.33029, 37.67654)",03,0.25241883333333337,0.034194182893683346,6,0.21822465043965003,0.28661301622701674,0.16481481481481486
CO0020281,DEL NORTE WWTF,0.99,1.5315299999999998,1424052,"c(-105.33029, 37.67654)",04,0.20007866666666665,0.07487011197444988,6,0.12520855469221676,0.27494877864111655,0.13063973063973064
CO0020281,DEL NORTE WWTF,0.99,1.5315299999999998,1424052,"c(-105.33029, 37.67654)",05,0.2436525,0.12022787962490229,6,0.1234246203750977,0.3638803796249023,0.15909090909090912
CO0020281,DEL NORTE WWTF,0.99,1.5315299999999998,1424052,"c(-105.33029, 37.67654)",06,0.25009833333333337,0.1673441225136595,6,0.08275421081967388,0.41744245584699285,0.16329966329966333
CO0020281,DEL NORTE WWTF,0.99,1.5315299999999998,1424052,"c(-105.33029, 37.67654)",07,0.167076,0.104222344097607,6,0.062853655902393,0.271298344097607,0.1090909090909091
CO0020281,DEL NORTE WWTF,0.99,1.5315299999999998,1424052,"c(-105.33029, 37.67654)",08,0.14593366666666666,0.09593229610442286,6,0.050001370562243797,0.24186596277108952,0.0952861952861953
CO0020281,DEL NORTE WWTF,0.99,1.5315299999999998,1424052,"c(-105.33029, 37.67654)",09,0.14335533333333333,0.06605285424769067,6,0.07730247908564267,0.209408187581024,0.09360269360269362
CO0020281,DEL NORTE WWTF,0.99,1.5315299999999998,1424052,"c(-105.33029, 37.67654)",10,0.12788533333333332,0.07781681668551256,6,0.05006851664782076,0.2057021500188459,0.08350168350168351
CO0020281,DEL NORTE WWTF,0.99,1.5315299999999998,1424052,"c(-105.33029, 37.67654)",11,0.2080715,0.0768580365004207,6,0.1312134634995793,0.2849295365004207,0.13585858585858587
CO0020281,DEL NORTE WWTF,0.99,1.5315299999999998,1424052,"c(-105.33029, 37.67654)",12,0.2529345,0.1719266229526422,6,0.08100787704735782,0.4248611229526422,0.16515151515151516
CO0020290,ESTES PARK SANITATION DISTRICT,1.5,2.3205,12924,"c(-105.51134, 40.3791)",01,0.5806406666666667,0.039545951851822546,6,0.5410947148148442,0.6201866185184892,0.25022222222222223
CO0020290,ESTES PARK SANITATION DISTRICT,1.5,2.3205,12924,"c(-105.51134, 40.3791)",02,0.5829611666666666,0.03314216585207833,6,0.5498190008145883,0.6161033325187449,0.25122222222222224
CO0020290,ESTES PARK SANITATION DISTRICT,1.5,2.3205,12924,"c(-105.51134, 40.3791)",03,0.6427784999999999,0.04662351053599461,6,0.5961549894640054,0.6894020105359945,0.27699999999999997
CO0020290,ESTES PARK SANITATION DISTRICT,1.5,2.3205,12924,"c(-105.51134, 40.3791)",04,0.6948608333333333,0.0680920211402677,6,0.6267688121930656,0.762952854473601,0.2994444444444444
CO0020290,ESTES PARK SANITATION DISTRICT,1.5,2.3205,12924,"c(-105.51134, 40.3791)",05,0.9013853333333333,0.14617526514792667,6,0.7552100681854066,1.04756059848126,0.3884444444444444
CO0020290,ESTES PARK SANITATION DISTRICT,1.5,2.3205,12924,"c(-105.51134, 40.3791)",06,1.0684613333333333,0.12205689481658402,6,0.9464044385167493,1.1905182281499174,0.46044444444444443
CO0020290,ESTES PARK SANITATION DISTRICT,1.5,2.3205,12924,"c(-105.51134, 40.3791)",07,1.0408731666666666,0.08525312873652595,6,0.9556200379301407,1.1261262954031925,0.44855555555555554
CO0020290,ESTES PARK SANITATION DISTRICT,1.5,2.3205,12924,"c(-105.51134, 40.3791)",08,0.9439278333333332,0.06229180763926082,6,0.8816360256940724,1.006219640972594,0.40677777777777774
CO0020290,ESTES PARK SANITATION DISTRICT,1.5,2.3205,12924,"c(-105.51134, 40.3791)",09,0.8892671666666666,0.036809715594753864,6,0.8524574510719127,0.9260768822614205,0.3832222222222222
CO0020290,ESTES PARK SANITATION DISTRICT,1.5,2.3205,12924,"c(-105.51134, 40.3791)",10,0.7881965000000001,0.046283489236443716,6,0.7419130107635563,0.8344799892364438,0.3396666666666667
CO0020290,ESTES PARK SANITATION DISTRICT,1.5,2.3205,12924,"c(-105.51134, 40.3791)",11,0.6603111666666667,0.03893300408351077,6,0.6213781625831559,0.6992441707501774,0.28455555555555556
CO0020290,ESTES PARK SANITATION DISTRICT,1.5,2.3205,12924,"c(-105.51134, 40.3791)",12,0.6224096666666666,0.0400869064641644,6,0.5823227602025023,0.662496573130831,0.2682222222222222
CO0020311,SILVERTON TOWN OF WWTF,0.42,0.64974,17013783,"c(-107.670295, 37.801931)",01,0.14180833333333334,0.0315780052673798,6,0.11023032806595354,0.17338633860071315,0.21825396825396828
CO0020311,SILVERTON TOWN OF WWTF,0.42,0.64974,17013783,"c(-107.670295, 37.801931)",02,0.13923,0.021877883809911777,6,0.11735211619008822,0.16110788380991176,0.21428571428571427
