"","GEOID","rurality"
"246","08001007802","Urban"
"247","08001008353","Urban"
"248","08001008402","Rural"
"249","08001008508","Urban"
"250","08001008505","Urban"
"251","08001008506","Urban"
"252","08001008507","Urban"
"253","08001008523","Rural"
"254","08001008524","Urban"
"255","08001008533","Urban"
"256","08001008535","Urban"
"257","08001008536","Urban"
"258","08001008537","Urban"
"259","08001008539","Urban"
"260","08001008540","Urban"
"261","08001008541","Urban"
"262","08037000401","Urban"
"263","08037000402","Urban"
"264","08037000403","Urban"
"265","08037000501","Urban"
"266","08037000502","Urban"
"267","08037000503","Urban"
"268","08037000600","Urban"
"269","08037000701","Urban"
"270","08037000702","Urban"
"271","08037000703","Urban"
"272","08039961100","Rural"
"273","08039961204","Rural"
"274","08039961208","Rural"
"275","08039961205","Rural"
"276","08039961206","Rural"
"277","08039961207","Rural"
"278","08039961209","Rural"
"279","08041000202","Urban"
"280","08041000302","Urban"
"281","08041000101","Urban"
"282","08041000102","Urban"
"283","08041000203","Urban"
"284","08041000301","Urban"
"285","08041000600","Urban"
"286","08041000700","Urban"
"287","08041000400","Urban"
"288","08041000500","Urban"
"289","08041000800","Urban"
"290","08041000900","Urban"
"291","08041001000","Urban"
"292","08041001101","Urban"
"293","08041001104","Urban"
"294","08041001301","Urban"
"295","08041001302","Urban"
"296","08041001400","Urban"
"297","08041001500","Urban"
"298","08041001900","Urban"
"299","08041001600","Urban"
"300","08041001700","Urban"
"301","08041001800","Urban"
"302","08041002000","Urban"
"303","08041002101","Urban"
"304","08041002102","Urban"
"305","08041002200","Urban"
"306","08041002300","Urban"
"307","08041002400","Urban"
"308","08041002501","Urban"
"309","08041002502","Urban"
"310","08041002700","Urban"
"311","08041002800","Urban"
"312","08041002900","Urban"
"313","08041003100","Urban"
"314","08041003305","Urban"
"315","08123002101","Urban"
"316","08123002102","Urban"
"317","08123002103","Rural"
"318","08123002203","Urban"
"319","08123002204","Urban"
"320","08123002205","Urban"
"321","08123002206","Urban"
"322","08123002207","Urban"
"323","08123002208","Urban"
"324","08123002209","Rural"
"325","08123002210","Rural"
"326","08123002300","Rural"
"327","08123002501","Rural"
"328","08041003306","Urban"
"329","08041003307","Urban"
"330","08123002502","Rural"
"331","08125963100","Rural"
"332","08125963200","Urban"
"333","08035014009","Urban"
"334","08035014010","Urban"
"335","08035014012","Urban"
"336","08035014007","Urban"
"337","08035014005","Urban"
"338","08035014011","Urban"
"339","08035014013","Urban"
"340","08035014110","Urban"
"341","08035014107","Urban"
"342","08035014108","Urban"
"343","08035014109","Urban"
"344","08035014112","Urban"
"345","08035014113","Urban"
"346","08035014114","Urban"
"347","08035014115","Urban"
"348","08035014116","Urban"
"349","08035014122","Urban"
"350","08035014123","Urban"
"351","08035014124","Urban"
"352","08035014125","Urban"
"353","08035014126","Urban"
"354","08035014127","Urban"
"355","08035014128","Urban"
"356","08035014129","Urban"
"357","08035014130","Urban"
"358","08035014131","Urban"
"359","08035014132","Urban"
"360","08035014136","Urban"
"361","08035014133","Urban"
"362","08035014135","Urban"
"363","08035014137","Urban"
"364","08035014138","Urban"
"365","08035014139","Urban"
"366","08035014140","Urban"
"367","08035014202","Rural"
"368","08031005002","Urban"
"369","08035014203","Urban"
"370","08035014204","Urban"
"371","08035014300","Rural"
"372","08035014403","Rural"
"373","08035014404","Rural"
"374","08035014405","Urban"
"375","08035014406","Urban"
"376","08035014503","Urban"
"377","08035014504","Urban"
"378","08035014505","Urban"
"379","08035014506","Rural"
"380","08035014602","Rural"
"381","08035014603","Urban"
"382","08037000302","Urban"
"383","08035014134","Urban"
"384","08035014604","Urban"
"385","08037000100","Rural"
"386","08037000200","Urban"
"387","08037000301","Urban"
"388","08123000600","Urban"
"389","08123000800","Urban"
"390","08123000703","Urban"
"391","08123000704","Urban"
"392","08123000705","Rural"
"393","08123000900","Urban"
"394","08123001003","Urban"
"395","08123001004","Urban"
"396","08123001005","Urban"
"397","08123001006","Urban"
"398","08123001100","Urban"
"399","08123001201","Urban"
"400","08123001202","Urban"
"401","08123001300","Urban"
"402","08123001404","Urban"
"403","08123001405","Urban"
"404","08123001406","Urban"
"405","08123001407","Urban"
"406","08123001408","Urban"
"407","08123001409","Urban"
"408","08123001410","Urban"
"409","08123001411","Urban"
"410","08123001412","Urban"
"411","08123001416","Urban"
"412","08123001413","Urban"
"413","08123001414","Urban"
"414","08123001415","Urban"
"415","08123001417","Urban"
"416","08031005102","Urban"
"417","08031005300","Urban"
"418","08031005104","Urban"
"419","08031005200","Urban"
"420","08031005502","Urban"
"421","08031005503","Urban"
"422","08031006810","Urban"
"423","08031006811","Urban"
"424","08031006812","Urban"
"425","08031006813","Urban"
"426","08031006814","Urban"
"427","08031006901","Urban"
"428","08031007006","Urban"
"429","08031007013","Urban"
"430","08031007037","Urban"
"431","08031007088","Urban"
"432","08031008306","Urban"
"433","08031007089","Urban"
"434","08031008304","Urban"
"435","08031008305","Urban"
"436","08031008312","Urban"
"437","08031008386","Urban"
"438","08031008387","Urban"
"439","08031008388","Urban"
"440","08031008389","Urban"
"441","08031008390","Urban"
"442","08031008391","Urban"
"443","08031011902","Urban"
"444","08031011903","Urban"
"445","08031012001","Urban"
"446","08031012010","Urban"
"447","08031012014","Urban"
"448","08031015300","Urban"
"449","08031015400","Urban"
"450","08031015500","Urban"
"451","08031015600","Urban"
"452","08031015700","Urban"
"453","08031006701","Urban"
"454","08031006804","Urban"
"455","08031006809","Urban"
"456","08031980000","Urban"
"457","08031980100",NA
"458","08035013905","Urban"
"459","08033000100","Rural"
"460","08123001500","Urban"
"461","08123001600","Rural"
"462","08123001700","Rural"
"463","08123001800","Rural"
"464","08123001902","Urban"
"465","08123001906","Urban"
"466","08123001908","Urban"
"467","08123002004","Urban"
"468","08123002005","Rural"
"469","08123002006","Rural"
"470","08123002007","Urban"
"471","08123002008","Urban"
"472","08123002009","Rural"
"473","08123002010","Urban"
"474","08123002015","Urban"
"475","08123002012","Urban"
"476","08123002013","Urban"
"477","08123002014","Urban"
"478","08123001905","Urban"
"479","08123001907","Urban"
"480","08123002011","Rural"
"481","08123002016","Urban"
"482","08123002017","Urban"
"483","08123002018","Urban"
"484","08123002019","Urban"
"485","08123002020","Urban"
"486","08123002021","Rural"
"487","08035013907","Urban"
"488","08035013904","Urban"
"489","08035013901","Urban"
"490","08035013908","Urban"
"491","08035013909","Urban"
"492","08035013910","Urban"
"493","08035013911","Urban"
"494","08035014001","Urban"
"495","08035014006","Urban"
"496","08035014008","Urban"
"497","08101002916","Urban"
"498","08101002917","Urban"
"499","08101002918","Rural"
"500","08101003001","Rural"
"501","08101003004","Urban"
"502","08101003103","Urban"
"503","08101003104","Urban"
"504","08101003105","Urban"
"505","08101003106","Urban"
"506","08101003200","Rural"
"507","08101003500","Urban"
"508","08101003600","Urban"
"509","08101980100",NA
"510","08103951100","Rural"
"511","08103951200","Rural"
"512","08105976700","Urban"
"513","08105976800","Rural"
"514","08107000300","Rural"
"515","08105977000","Rural"
"516","08107000100","Rural"
"517","08107000200","Rural"
"518","08107000400","Urban"
"519","08107000500","Urban"
"520","08107000600","Urban"
"521","08107000700","Urban"
"522","08107000800","Rural"
"523","08109977600","Rural"
"524","08109977700","Rural"
"525","08111972600","Rural"
"526","08113968101","Rural"
"527","08113968102","Rural"
"528","08113968103","Rural"
"529","08113968200","Rural"
"530","08115968300","Rural"
"531","08117000100","Urban"
"532","08117000200","Urban"
"533","08117000300","Urban"
"534","08031003004","Urban"
"535","08031002703","Urban"
"536","08119010103","Urban"
"537","08117000401","Urban"
"538","08117000402","Urban"
"539","08119010106","Rural"
"540","08119010104","Urban"
"541","08119010105","Rural"
"542","08119010201","Rural"
"543","08119010202","Rural"
"544","08121924100","Rural"
"545","08121924200","Rural"
"546","08123000100","Urban"
"547","08123000200","Urban"
"548","08123000300","Urban"
"549","08123000402","Urban"
"550","08123000502","Urban"
"551","08123000701","Urban"
"552","08123000401","Urban"
"553","08123000501","Urban"
"554","08031002902","Urban"
"555","08031003001","Urban"
"556","08031003002","Urban"
"557","08031003003","Urban"
"558","08031003101","Urban"
"559","08031003102","Urban"
"560","08031003201","Urban"
"561","08031003202","Urban"
"562","08031003203","Urban"
"563","08031003300","Urban"
"564","08031003401","Urban"
"565","08031003402","Urban"
"566","08031003500","Urban"
"567","08031003601","Urban"
"568","08031003602","Urban"
"569","08031003603","Urban"
"570","08031003800","Urban"
"571","08031003701","Urban"
"572","08031003702","Urban"
"573","08031003703","Urban"
"574","08031003901","Urban"
"575","08031003902","Urban"
"576","08031004002","Urban"
"577","08031004003","Urban"
"578","08031004004","Urban"
"579","08031004005","Urban"
"580","08031004006","Urban"
"581","08031004101","Urban"
"582","08031004102","Urban"
"583","08031004103","Urban"
"584","08031004104","Urban"
"585","08031004106","Urban"
"586","08031004107","Urban"
"587","08031004201","Urban"
"588","08031004202","Urban"
"589","08031004304","Urban"
"590","08031004301","Urban"
"591","08031004302","Urban"
"592","08031004303","Urban"
"593","08031004306","Urban"
"594","08031004403","Urban"
"595","08031004404","Urban"
"596","08031004405","Urban"
"597","08031004503","Urban"
"598","08031004504","Urban"
